#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
89.2%	4460000	-258610.9163689518	301.9076224804381	633
89.4%	4470000	-258299.04634331702	300.8730740445479	633
89.6%	4480000	-259480.03456353187	297.1953173431046	633
89.8%	4490000	-259352.40748833655	301.05879405355654	633
90.0%	4500000	-258889.76448296546	296.821114803464	633
90.2%	4510000	-258738.45418023109	303.2409940922934	633
90.4%	4520000	-259114.03419732093	301.46034867629015	633
90.6%	4530000	-259273.76143120765	300.34925025635727	633
90.8%	4540000	-258928.7589898014	302.2773559271309	633
91.0%	4550000	-259936.06654595374	302.3340993554172	633
91.2%	4560000	-258364.7077813053	303.7355194221601	633
91.4%	4570000	-259151.00581597327	304.17426919872514	633
91.6%	4580000	-259000.31164788245	302.71451582182465	633
91.8%	4590000	-259514.96724175452	299.48323421827934	633
92.0%	4600000	-259085.26396416663	301.73753066513893	633
92.2%	4610000	-259240.23265313148	301.9856159962237	633
92.4%	4620000	-259002.81196831702	298.39378239458733	633
92.6%	4630000	-258968.7619194889	300.23943207197345	633
92.8%	4640000	-259423.50477837562	300.2566283604386	633
93.0%	4650000	-258692.76075982093	302.43736349918186	633
93.2%	4660000	-259371.9132866764	300.59033246392084	633
93.4%	4670000	-258435.07393120765	301.18885564125657	633
93.6%	4680000	-259127.65452813148	301.79175008373204	633
93.8%	4690000	-258775.9055962467	300.08857810321626	633
94.0%	4700000	-258898.16981743812	303.399100018833	633
94.2%	4710000	-259087.1320366764	296.57789119519424	633
94.4%	4720000	-258938.29927300452	299.2391994486835	633
94.6%	4730000	-259473.7514519596	299.8410569874004	633
94.8%	4740000	-259744.90132378577	302.1366308369323	633
95.0%	4750000	-259495.2859063053	298.316251363695	633
95.2%	4760000	-259150.44850396155	301.8490982453612	633
95.4%	4770000	-259480.10634087562	302.7483696437471	633
95.6%	4780000	-259083.97523736	304.6509951751799	633
95.8%	4790000	-259191.59134148597	302.0255797048663	633
96.0%	4800000	-259299.79658745765	300.34473644468244	633
96.2%	4810000	-259647.25404595374	301.6592270010971	633
96.4%	4820000	-258747.72627495765	301.220557827299	633
96.6%	4830000	-258774.96278618812	297.85997645561093	633
96.8%	4840000	-259932.06276177405	300.7690996131878	633
97.0%	4850000	-259112.4838738346	299.88109257232685	633
97.2%	4860000	-258227.03164910316	300.5194213433554	633
97.4%	4870000	-258227.5678582096	303.5769665050089	633
97.6%	4880000	-258938.03846978187	295.7914729768949	633
97.8%	4890000	-259861.0385613346	301.7982286028622	633
98.0%	4900000	-258997.91514824866	304.68291861001063	633
